#  ___  _____  _____  __  __  ____  
# |_ _||_   _|| ____||  \/  |/ ___| 
#  | |   | |  |  _|  | |\/| |\___ \ 
#  | |   | |  | |___ | |  | | ___) |
# |___|  |_|  |_____||_|  |_||____/ 

* Monster Candy
* Croquet Roll 
* Stick
 item_name_4, Bandage 
 item_name_5, Rock Candy 
 item_name_6, Pumpkin Rings 
 item_name_7, Spider Donut 
 item_name_8, Stoic Onion 
 item_name_9, Ghost Fruit 
 item_name_10, Spider Cider 
 item_name_11, Butterscotch Pie 
 item_name_12, Faded Ribbon 
 item_name_13, Toy Knife 
 item_name_14, Tough Glove 
 item_name_15, Manly Bandanna 
 item_name_16, Snowman Piece 
 item_name_17, Nice Cream 
 item_name_18, Puppydough Icecream 
 item_name_19, Bisicle 
 item_name_20, Unisicle 
 item_name_21, Cinnamon Bun 
 item_name_22, Temmie Flakes 
 item_name_23, Abandoned Quiche 
 item_name_24, Old Tutu 
 item_name_25, Ballet Shoes 
 item_name_26, Punch Card 
 item_name_27, Annoying Dog 
 item_name_28, Dog Salad 
 item_name_29, Dog Residue 
 item_name_30, Dog Residue 
 item_name_31, Dog Residue 
 item_name_32, Dog Residue 
 item_name_33, Dog Residue 
 item_name_34, Dog Residue 
 item_name_35, Astronaut Food 
 item_name_36, Instant Noodles 
 item_name_37, Crab Apple 
 item_name_38, Hot Dog...? 
 item_name_39, Hot Cat 
 item_name_40, Glamburger 
 item_name_41, Sea Tea 
 item_name_42, Starfait 
 item_name_43, Legendary Hero 
 item_name_44, Cloudy Glasses 
 item_name_45, Torn Notebook 
 item_name_46, Stained Apron 
 item_name_47, Burnt Pan 
 item_name_48, Cowboy Hat 
 item_name_49, Empty Gun 
 item_name_50, Heart Locket 
 item_name_51, Worn Dagger 
 item_name_52, Real Knife 
 item_name_53, The Locket 
 item_name_54, Bad Memory 
 item_name_55, Dream 
 item_name_56, Undyne's Letter 
 item_name_57, Undyne Letter EX 
 item_name_58, Popato Chisps 
 item_name_59, Junk Food 
 item_name_60, Mystery Key 
 item_name_61, Face Steak 
 item_name_62, Hush Puppy 
 item_name_63, Snail Pie 
 item_name_64, temy armor 
 item_nameb_0,  
 item_nameb_1, MnstrCndy 
 item_nameb_2, CroqtRoll 
 item_nameb_3, Stick 
 item_nameb_4, Bandage 
 item_nameb_5, RockCandy 
 item_nameb_6, PunkRings 
 item_nameb_7, SpidrDont 
 item_nameb_8, StocOnoin 
 item_nameb_9, GhostFrut 
 item_nameb_10, SpidrCidr 
 item_nameb_11, ButtsPie 
 item_nameb_12, Ribbon 
 item_nameb_13, Toy Knife 
 item_nameb_14, TuffGlove 
 item_nameb_15, Mandanna 
 item_nameb_16, SnowPiece 
 item_nameb_17, NiceCream 
 item_nameb_18, PDIceCram 
 item_nameb_19, Bisicle 
 item_nameb_20, Unisicle 
 item_nameb_21, CinnaBun 
 item_nameb_22, TemFlakes 
 item_nameb_23, Ab Quiche 
 item_nameb_24, Old Tutu 
 item_nameb_25, BallShoes 
 item_nameb_26, PunchCard 
 item_nameb_27, Annoy Dog 
 item_nameb_28, Dog Salad 
 item_nameb_29, DogResidu 
 item_nameb_30, DogResidu 
 item_nameb_31, DogResidu 
 item_nameb_32, DogResidu 
 item_nameb_33, DogResidu 
 item_nameb_34, DogResidu 
 item_nameb_35, AstroFood 
 item_nameb_36, InstaNood 
 item_nameb_37, CrabApple 
 item_nameb_38, Hot Dog 
 item_nameb_39, Hot Cat 
 item_nameb_40, GlamBurg 
 item_nameb_41, Sea Tea 
 item_nameb_42, Starfait 
 item_nameb_43, Leg.Hero 
 item_nameb_44, ClodGlass 
 item_nameb_45, TornNotbo 
 item_nameb_46, StainApro 
 item_nameb_47, Burnt Pan 
 item_nameb_48, CowboyHat 
 item_nameb_49, Empty Gun 
 item_nameb_50, <--Locket 
 item_nameb_51, WornDG 
 item_nameb_52, RealKnife 
 item_nameb_53, TheLocket 
 item_nameb_54, BadMemory 
 item_nameb_55, LastDream 
